amine,carboxylic acid,product,conversion,gt,pred,prob
Nc1ccccc1C#Cc1ccccc1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(Nc1ccccc1C#Cc1ccccc1)c1cn2cc(Br)ncc2n1,82.85,1,0,0.36039513
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,O=C(O)c1cn2cc(Br)ncc2n1,CCOc1cc(NC(=O)c2cn3cc(Br)ncc3n2)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0,0,0,0.13663687
OC(c1ccccc1)(c1ccccc1)C1CCCN1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N1CCCC1C(O)(c1ccccc1)c1ccccc1,0,0,0,0.29209828
C1CCC(NC2CCCCC2)CC1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N(C1CCCCC1)C1CCCCC1,4.6,0,0,0.20774874
COc1cccc(Nc2ccccc2)c1,O=C(O)c1cn2cc(Br)ncc2n1,COc1cccc(N(C(=O)c2cn3cc(Br)ncc3n2)c2ccccc2)c1,0,0,0,0.13095385
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,100,1,1,0.5644104
COc1cccc(C(N)=S)c1,O=C(O)c1cn2cc(Br)ncc2n1,COc1cccc(C(=S)NC(=O)c2cn3cc(Br)ncc3n2)c1,0,0,0,0.1910703
CC(N)c1ccccc1Br,O=C(O)c1cn2cc(Br)ncc2n1,CC(NC(=O)c1cn2cc(Br)ncc2n1)c1ccccc1Br,100,1,1,0.51659685
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,O=C(O)c1ccnc(Cl)c1F,O=C(Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F)c1ccnc(Cl)c1F,0,0,0,0.23563921
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,O=C(O)c1ccnc(Cl)c1F,O=C(c1ccnc(Cl)c1F)N1CCCC1C(O)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,100,1,0,0.4982023
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,O=C(O)c1ccnc(Cl)c1F,CC(Oc1cc(Br)cnc1NC(=O)c1ccnc(Cl)c1F)c1c(Cl)ccc(F)c1Cl,0,0,0,0.30704856
